535.2745 	DATA 	Trial 108 - Stimuli img/target_11.png
537.0880 	DATA 	Keypress: l
538.1031 	DATA 	Keypress: j
539.0080 	DATA 	Keypress: l
539.0157 	DATA 	Keypress: j
539.2911 	DATA 	Trial 109 - Stimuli img/target_8.png
539.9516 	DATA 	Keypress: l
540.6873 	DATA 	Keypress: space
540.7835 	DATA 	Keypress: l
540.9590 	DATA 	Trial 110 - Stimuli img/target_6.png
541.8551 	DATA 	Keypress: j
542.3191 	DATA 	Keypress: space
543.0638 	DATA 	Keypress: j
543.1510 	DATA 	Keypress: space
543.3415 	DATA 	Trial 111 - Stimuli img/target_11.png
543.9039 	DATA 	Keypress: l
544.6710 	DATA 	Keypress: j
545.1037 	DATA 	Keypress: space
545.8389 	DATA 	Keypress: j
546.2236 	DATA 	Keypress: l
546.2472 	DATA 	Keypress: j
546.4558 	DATA 	Keypress: j
546.4573 	DATA 	Keypress: l
546.5127 	DATA 	Trial 112 - Stimuli img/target_14.png
546.6237 	DATA 	Keypress: l
546.6397 	DATA 	Keypress: j
548.7752 	DATA 	Keypress: k
548.9835 	DATA 	Keypress: semicolon
549.3748 	DATA 	Keypress: semicolon
550.9512 	DATA 	Keypress: semicolon
550.9587 	DATA 	Keypress: k
551.2258 	DATA 	Trial 113 - Stimuli img/target_10.png
552.3436 	DATA 	Keypress: k
552.4390 	DATA 	Keypress: j
552.6425 	DATA 	Trial 114 - Stimuli img/target_7.png
553.7668 	DATA 	Keypress: k
554.0707 	DATA 	Keypress: space
555.1188 	DATA 	Keypress: k
555.1427 	DATA 	Keypress: space
555.3926 	DATA 	Trial 115 - Stimuli img/target_15.png
556.9356 	DATA 	Keypress: l
556.9585 	DATA 	Keypress: semicolon
557.2276 	DATA 	Trial 116 - Stimuli img/target_12.png
558.2947 	DATA 	Keypress: semicolon
558.5436 	DATA 	Keypress: j
559.4945 	DATA 	Keypress: j
559.5264 	DATA 	Keypress: semicolon
559.7787 	DATA 	Trial 117 - Stimuli img/target_15.png
560.9511 	DATA 	Keypress: l
560.9583 	DATA 	Keypress: semicolon
561.2439 	DATA 	Trial 118 - Stimuli img/target_13.png
562.9346 	DATA 	Keypress: l
562.9902 	DATA 	Keypress: k
563.2274 	DATA 	Trial 119 - Stimuli img/target_9.png
564.1905 	DATA 	Keypress: semicolon
565.2543 	DATA 	Keypress: space
565.9028 	DATA 	Keypress: space
566.2631 	DATA 	Keypress: semicolon
566.4224 	DATA 	Keypress: space
566.5436 	DATA 	Trial 120 - Stimuli img/target_11.png
