sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,33,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,34,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,35,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,36,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,37,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,38,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,39,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,40,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,41,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,42,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,43,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,44,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,45,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,46,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,47,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,48,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,49,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,50,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,51,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,52,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,53,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,54,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,55,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,56,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,57,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,58,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,59,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,60,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,61,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,62,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,63,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,64,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,65,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,66,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,67,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,68,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,69,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,70,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,71,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,72,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,73,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,74,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,75,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,76,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,77,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,78,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,79,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,80,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,81,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,82,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,83,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,84,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,85,e,img/target_3.png,60,9,,,,'--',,'--',
